2009/08/07,000000,01,02,15,26,31,49,43
2009/08/11,000000,03,24,27,28,30,46,42
2009/08/14,000000,04,08,15,26,39,49,34
2009/08/18,000000,11,12,18,31,46,47,27
2009/08/21,000000,11,13,32,37,42,43,20
2009/08/25,000000,01,07,09,15,21,38,31
2009/08/28,000000,12,23,39,44,45,48,47
2009/09/01,000000,07,08,12,19,26,36,09
2009/09/04,000000,05,28,31,36,40,49,20
2009/09/08,000000,08,11,12,15,19,20,34
2009/09/11,000000,10,16,18,31,33,48,07
2009/09/15,000000,02,04,26,36,43,48,30
2009/09/18,000000,02,04,08,09,26,38,23
2009/09/22,000000,03,04,08,12,21,42,48
2009/09/25,000000,01,09,13,16,33,37,04
2009/09/29,000000,17,27,32,37,45,47,25
2009/10/02,000000,09,15,25,28,30,35,22
2009/10/06,000000,09,14,15,22,26,33,16
2009/10/09,000000,10,14,17,33,40,41,12
2009/10/13,000000,05,13,28,40,44,49,43
2009/10/16,000000,13,15,20,29,30,43,01
2009/10/20,000000,01,11,12,14,41,46,45
2009/10/23,000000,05,06,18,19,21,34,10
2009/10/27,000000,02,12,28,32,42,46,23
2009/10/30,000000,04,08,12,20,37,39,30
2009/11/03,000000,05,13,20,26,29,34,30
2009/11/06,000000,01,02,10,44,45,46,22
2009/11/10,000000,02,07,22,25,26,42,44
2009/11/13,000000,13,25,32,33,38,47,26
2009/11/17,000000,01,04,08,10,34,49,46
2009/11/20,000000,05,13,15,20,26,31,35
2009/11/24,000000,02,07,13,23,27,40,04
2009/11/27,000000,01,05,06,15,19,26,14
2009/12/01,000000,11,23,27,29,38,49,40
2009/12/04,000000,02,03,13,19,22,39,21
2009/12/08,000000,04,16,19,27,32,39,21
2009/12/11,000000,12,15,20,29,36,48,31
2009/12/15,000000,04,35,38,43,44,48,37
2009/12/18,000000,03,16,32,42,43,45,06
2009/12/22,000000,10,11,14,24,27,47,32
2009/12/25,000000,09,12,22,30,42,47,27
2009/12/29,000000,12,21,25,29,42,48,06
2010/01/01,000000,02,16,20,22,23,27,46
2010/01/05,000000,11,18,24,32,38,40,47
2010/01/08,000000,01,08,19,21,43,45,30
2010/01/12,000000,01,23,34,36,46,48,18
2010/01/15,000000,04,07,26,41,47,49,03
2010/01/19,000000,13,24,25,32,35,45,05
2010/01/22,000000,03,23,24,31,32,46,47
2010/01/26,000000,25,26,28,33,39,40,10
2010/01/29,000000,16,18,29,34,44,49,08
2010/02/02,000000,09,15,18,21,27,41,46
2010/02/05,000000,01,05,14,19,33,36,16
2010/02/09,000000,09,13,32,34,35,45,38
2010/02/12,000000,01,14,23,31,32,40,35
2010/02/16,000000,05,26,29,36,43,49,12
2010/02/19,000000,12,14,27,30,37,43,36
2010/02/23,000000,05,19,23,40,45,48,06
2010/02/26,000000,05,06,22,32,34,47,01
2010/03/02,000000,02,03,09,33,34,38,45
2010/03/05,000000,03,15,21,22,35,38,04
2010/03/09,000000,05,07,12,14,16,36,04
2010/03/12,000000,18,19,23,31,35,38,22
2010/03/16,000000,26,36,37,39,41,46,04
2010/03/19,000000,05,08,18,22,29,49,47
2010/03/23,000000,11,22,28,35,37,48,49
2010/03/26,000000,09,17,19,23,35,36,34
2010/03/30,000000,16,37,41,46,47,49,14
2010/04/02,000000,01,06,16,21,41,48,12
2010/04/06,000000,09,23,27,28,31,41,44
2010/04/09,000000,04,05,29,36,40,49,26
2010/04/13,000000,12,14,34,42,46,49,25
2010/04/16,000000,01,24,30,31,34,40,43
2010/04/20,000000,02,07,21,23,32,41,42
2010/04/23,000000,03,04,30,45,47,49,27
2010/04/27,000000,12,14,16,34,35,48,43
2010/04/30,000000,08,35,36,37,39,44,20
2010/05/04,000000,04,15,23,32,34,35,18
2010/05/07,000000,19,23,28,32,38,49,20
2010/05/11,000000,11,13,29,33,42,45,02
2010/05/14,000000,03,06,16,21,28,47,18
2010/05/18,000000,03,06,14,27,28,33,05
2010/05/21,000000,04,12,16,27,44,47,39
2010/05/25,000000,01,20,30,32,34,43,03
2010/05/28,000000,03,18,19,20,26,43,10
2010/06/01,000000,02,05,15,28,35,40,01
2010/06/04,000000,11,15,27,28,37,39,04
2010/06/08,000000,08,24,25,40,42,46,10
2010/06/11,000000,01,20,21,27,42,43,26
2010/06/15,000000,02,04,17,20,27,44,24
2010/06/18,000000,02,05,15,20,26,48,08
2010/06/22,000000,09,15,26,28,36,42,40
2010/06/25,000000,11,24,27,39,46,47,20
2010/06/29,000000,01,04,11,18,20,48,05
2010/07/02,000000,07,10,20,23,32,45,17
2010/07/06,000000,05,11,21,25,43,48,31
2010/07/09,000000,11,24,25,32,33,35,23
2010/07/13,000000,02,05,08,15,31,34,12
2010/07/16,000000,16,17,18,20,32,45,09
2010/07/20,000000,05,22,23,27,29,43,47
2010/07/23,000000,08,15,22,42,43,49,07
2010/07/27,000000,03,15,33,38,44,49,30
2010/07/30,000000,08,11,12,14,23,36,45
2010/08/03,000000,03,13,15,25,29,49,09
2010/08/06,000000,10,19,21,22,28,47,39
2010/08/10,000000,03,24,25,28,38,40,11
2010/08/13,000000,02,13,22,30,36,48,09
2010/08/17,000000,06,14,18,19,20,42,09
2010/08/20,000000,08,21,28,33,38,44,27
2010/08/24,000000,06,08,30,45,47,48,29
2010/08/27,000000,08,14,27,30,42,47,29
2010/08/31,000000,04,07,20,23,31,43,47
2010/09/03,000000,05,07,18,20,38,47,37
2010/09/07,000000,03,04,08,16,41,43,22
2010/09/10,000000,10,14,18,41,42,49,24
2010/09/14,000000,01,02,19,22,26,44,03
2010/09/17,000000,12,13,24,34,35,39,14
2010/09/21,000000,01,22,35,38,39,45,08
2010/09/24,000000,02,08,29,36,42,44,22
2010/09/28,000000,03,04,19,22,32,40,11
2010/10/01,000000,08,12,23,37,38,48,20
2010/10/05,000000,14,16,21,32,35,43,49
2010/10/08,000000,03,11,14,39,41,48,06
2010/10/12,000000,08,09,10,20,31,40,25
2010/10/15,000000,01,11,20,28,30,46,10
2010/10/19,000000,12,21,27,35,36,37,08
2010/10/22,000000,01,04,08,13,18,49,03
2010/10/26,000000,03,14,22,35,43,44,26
2010/10/29,000000,04,13,19,26,27,28,33
2010/11/02,000000,04,05,21,34,36,39,28
2010/11/05,000000,05,08,13,16,28,47,46
2010/11/09,000000,05,07,21,30,31,36,49
2010/11/12,000000,03,10,23,36,37,39,15
2010/11/16,000000,02,07,10,12,15,43,22
2010/11/19,000000,03,06,40,43,44,45,41
2010/11/23,000000,02,03,26,30,32,48,41
2010/11/26,000000,18,22,23,35,44,49,26
2010/11/30,000000,07,08,24,34,36,38,16
2010/12/03,000000,17,23,33,38,43,48,19
2010/12/07,000000,21,22,30,37,38,49,34
2010/12/10,000000,01,17,22,26,29,33,03
2010/12/14,000000,15,16,17,20,32,41,08
2010/12/17,000000,09,25,28,30,35,41,12
2010/12/21,000000,01,12,23,35,38,45,26
2010/12/24,000000,16,27,39,43,48,49,01
2010/12/28,000000,02,13,17,27,31,36,18
2010/12/31,000000,04,09,27,36,38,39,02
2011/01/04,000000,14,19,23,35,37,47,42
2011/01/07,000000,11,13,34,35,47,49,20
2011/01/11,000000,07,10,11,12,14,20,41
2011/01/14,000000,16,17,20,32,39,45,46
2011/01/18,000000,15,38,40,42,46,47,17
2011/01/21,000000,02,32,36,37,39,43,03
2011/01/25,000000,12,13,17,21,31,39,20
2011/01/28,000000,03,04,13,18,24,42,47
2011/02/01,000000,01,06,17,25,40,42,15
2011/02/04,000000,10,33,41,42,47,49,03
2011/02/08,000000,05,06,23,31,39,41,16
2011/02/11,000000,03,04,07,34,36,45,24
2011/02/15,000000,09,12,15,24,33,35,18
2011/02/18,000000,14,20,23,26,37,38,33
2011/02/22,000000,13,15,20,32,35,39,11
2011/02/25,000000,02,03,20,28,36,44,21
2011/03/01,000000,03,08,14,27,31,48,23
2011/03/04,000000,12,16,18,22,23,27,41
2011/03/08,000000,01,06,24,25,32,47,38
2011/03/11,000000,05,11,13,21,22,42,25
2011/03/15,000000,04,19,28,29,30,41,10
2011/03/18,000000,03,15,23,30,36,37,28
2011/03/22,000000,06,08,20,24,36,47,27
2011/03/25,000000,01,18,35,39,43,48,02
2011/03/29,000000,04,10,12,18,22,40,24
2011/04/01,000000,14,20,30,32,35,43,33
2011/04/05,000000,08,10,20,24,28,29,32
2011/04/08,000000,09,10,23,29,37,38,44
2011/04/12,000000,04,06,14,24,29,33,45
2011/04/15,000000,15,28,37,38,42,47,33
2011/04/19,000000,22,35,37,41,46,47,24
2011/04/22,000000,04,21,22,26,36,46,41
2011/04/26,000000,20,37,39,40,41,45,08
2011/04/29,000000,01,07,16,17,22,23,19
2011/05/03,000000,10,15,18,24,28,43,35
2011/05/06,000000,06,22,23,24,36,44,03
2011/05/10,000000,05,12,25,35,38,42,28
2011/05/13,000000,16,19,21,29,36,42,10
2011/05/17,000000,01,03,11,15,26,48,28
2011/05/20,000000,02,33,34,42,44,47,10
2011/05/24,000000,01,16,19,24,25,26,21
2011/05/27,000000,05,10,24,32,43,48,04
2011/05/31,000000,05,09,15,32,38,43,12
2011/06/03,000000,08,12,13,15,35,46,30
2011/06/07,000000,03,08,22,27,31,39,14
2011/06/10,000000,06,10,19,29,37,41,09
2011/06/14,000000,05,17,21,31,33,48,25
2011/06/17,000000,01,02,19,31,47,48,36
2011/06/21,000000,01,10,13,40,42,46,41
2011/06/24,000000,11,19,21,27,38,39,24
2011/06/28,000000,11,13,15,23,27,33,04
2011/07/01,000000,09,23,25,31,44,49,02
2011/07/05,000000,01,02,15,18,28,32,26
2011/07/08,000000,16,18,35,37,43,47,07
2011/07/12,000000,08,24,31,35,37,41,19
2011/07/15,000000,17,23,27,30,43,49,31
2011/07/19,000000,02,17,20,37,47,49,36
2011/07/22,000000,04,05,06,08,22,38,42
2011/07/26,000000,02,08,13,29,35,36,14
2011/07/29,000000,06,19,28,37,38,46,42
2011/08/02,000000,17,24,27,28,42,45,31
2011/08/05,000000,03,20,24,25,28,49,30
2011/08/09,000000,25,27,33,38,40,49,12
2011/08/12,000000,02,12,14,22,40,45,04
2011/08/16,000000,26,30,37,38,42,43,32
2011/08/19,000000,13,18,30,32,41,48,45
2011/08/23,000000,05,23,29,32,36,42,14
2011/08/26,000000,10,31,32,33,43,45,30
2011/08/30,000000,10,12,26,36,37,48,34
2011/09/02,000000,02,05,22,24,30,35,42
2011/09/06,000000,02,09,23,29,38,41,08
2011/09/09,000000,01,08,12,15,36,47,10
2011/09/13,000000,02,08,11,38,41,48,18
2011/09/16,000000,15,23,28,30,36,48,45
2011/09/20,000000,02,25,27,28,34,37,42
2011/09/23,000000,14,16,23,27,28,44,40
2011/09/27,000000,03,09,23,26,31,42,41
2011/09/30,000000,10,11,24,34,44,48,31
2011/10/04,000000,02,08,15,26,29,49,03
2011/10/07,000000,01,06,13,16,30,33,03
2011/10/11,000000,02,06,18,33,34,43,28
2011/10/14,000000,07,08,21,23,26,39,28
2011/10/18,000000,04,08,19,32,44,46,21
2011/10/21,000000,20,33,34,35,41,43,04
2011/10/25,000000,02,05,24,28,33,44,04
2011/10/28,000000,05,15,24,27,33,36,01
2011/11/01,000000,04,07,13,14,21,29,22
2011/11/04,000000,02,07,08,14,21,38,11
2011/11/08,000000,02,11,22,35,39,40,36
2011/11/11,000000,04,19,20,29,32,36,30
2011/11/15,000000,12,19,21,35,42,46,40
2011/11/18,000000,10,11,12,15,16,45,19
2011/11/22,000000,16,21,37,40,41,46,27
2011/11/25,000000,08,10,27,30,36,43,48
2011/11/29,000000,01,07,11,14,35,36,10
2011/12/02,000000,23,27,31,37,39,45,06
2011/12/06,000000,03,13,14,18,22,38,06
2011/12/09,000000,10,37,38,39,40,45,18
2011/12/13,000000,02,23,30,36,44,48,24
2011/12/16,000000,10,31,35,36,41,44,34
2011/12/20,000000,05,07,09,26,27,34,08
2011/12/23,000000,06,17,27,31,40,48,28
2011/12/27,000000,01,08,23,24,30,32,14
2011/12/30,000000,12,13,15,28,30,37,03
2012/01/03,000000,09,19,26,34,38,40,37
2012/01/06,000000,10,14,23,35,41,46,19
2012/01/10,000000,03,21,23,27,45,47,40
2012/01/13,000000,22,36,42,43,46,48,21
2012/01/17,000000,04,10,22,35,42,46,32
2012/01/20,000000,10,12,22,30,39,44,09
2012/01/24,000000,08,21,29,38,44,45,20
2012/01/27,000000,03,20,21,22,34,40,44
2012/01/31,000000,01,11,14,15,19,33,42
2012/02/03,000000,05,08,20,32,34,35,17
2012/02/07,000000,07,22,27,33,39,41,13
2012/02/10,000000,05,16,19,29,41,43,37
2012/02/14,000000,02,11,19,21,33,45,40
2012/02/17,000000,14,15,26,30,38,44,19
2012/02/21,000000,02,21,32,39,42,46,19
2012/02/24,000000,02,06,13,15,17,43,04
2012/02/28,000000,02,30,32,36,43,47,49
2012/03/02,000000,02,06,15,21,31,45,24
2012/03/06,000000,02,05,17,20,25,48,14
2012/03/09,000000,10,21,41,44,45,48,32
2012/03/13,000000,06,24,46,47,48,49,40
2012/03/16,000000,26,27,28,30,31,43,08
2012/03/20,000000,04,05,07,13,26,46,24
2012/03/23,000000,22,31,36,37,43,44,11
2012/03/27,000000,16,18,23,27,28,29,19
2012/03/30,000000,01,20,21,28,36,38,30
2012/04/03,000000,08,22,23,39,44,47,36
2012/04/06,000000,04,05,14,36,37,40,25
2012/04/10,000000,06,19,27,31,33,42,13
2012/04/13,000000,01,04,09,20,25,35,43
2012/04/17,000000,19,23,25,26,31,43,10
2012/04/20,000000,02,03,25,44,45,48,31
2012/04/24,000000,09,14,19,21,39,47,11
2012/04/27,000000,13,22,24,35,40,45,37
2012/05/01,000000,05,07,21,22,31,43,04
2012/05/04,000000,04,11,17,23,31,39,14
2012/05/08,000000,06,23,24,25,29,30,47
2012/05/11,000000,10,22,29,30,33,37,27
2012/05/15,000000,01,30,35,44,47,49,46
2012/05/18,000000,13,23,25,31,39,46,41
2012/05/22,000000,01,08,13,18,28,49,06
2012/05/25,000000,01,17,22,26,33,40,11
2012/05/29,000000,05,22,38,43,46,49,13
2012/06/01,000000,04,18,31,34,39,44,49
2012/06/05,000000,11,13,16,35,40,49,39
2012/06/08,000000,01,09,24,45,46,49,12
2012/06/12,000000,03,21,29,33,35,40,45
2012/06/15,000000,09,15,23,38,47,49,36
2012/06/19,000000,01,05,17,19,26,46,47
2012/06/22,000000,06,24,28,36,38,44,08
2012/06/26,000000,01,06,07,12,16,41,49
2012/06/29,000000,09,11,30,36,39,45,26
2012/07/03,000000,11,18,21,34,41,49,47
2012/07/06,000000,04,11,18,19,27,31,24
2012/07/10,000000,03,16,26,28,31,41,45
2012/07/13,000000,08,15,28,35,41,46,11
2012/07/17,000000,17,19,22,25,30,37,31
2012/07/20,000000,11,14,22,34,41,44,27
2012/07/24,000000,05,11,21,24,37,39,13
2012/07/27,000000,05,07,09,22,27,34,45
2012/07/31,000000,01,24,28,33,43,44,31
2012/08/03,000000,13,14,18,27,29,44,21
2012/08/07,000000,12,23,28,29,43,47,26
2012/08/10,000000,01,03,14,24,26,45,38
2012/08/14,000000,02,19,27,31,38,49,32
2012/08/17,000000,07,38,39,43,47,48,29
2012/08/21,000000,06,29,40,44,46,47,33
2012/08/24,000000,07,34,35,42,43,47,29
2012/08/28,000000,01,03,06,30,38,41,46
2012/08/31,000000,18,28,31,34,36,45,42
2012/09/04,000000,10,21,32,36,40,48,09
2012/09/07,000000,07,17,19,24,30,44,31
2012/09/11,000000,03,04,21,30,31,48,15
2012/09/14,000000,20,31,32,33,37,38,39
2012/09/18,000000,12,13,18,39,44,48,35
2012/09/21,000000,22,29,30,36,37,42,09
2012/09/25,000000,18,19,34,35,45,49,16
2012/09/28,000000,04,06,22,41,42,47,18
2012/10/02,000000,01,03,07,09,28,40,45
2012/10/05,000000,09,17,18,33,44,47,08
2012/10/09,000000,08,15,18,30,31,41,45
2012/10/12,000000,05,11,12,30,43,48,15
2012/10/16,000000,02,03,28,35,44,45,36
2012/10/19,000000,13,25,27,39,45,49,11
2012/10/23,000000,02,07,19,20,25,46,43
2012/10/26,000000,01,17,20,28,32,41,13
2012/10/30,000000,10,14,20,25,36,46,02
2012/11/02,000000,04,18,24,36,37,38,31
2012/11/06,000000,08,13,41,42,47,48,29
2012/11/09,000000,09,25,31,37,38,45,21
2012/11/13,000000,02,11,14,22,25,31,26
2012/11/16,000000,17,18,32,33,41,42,12
2012/11/20,000000,06,20,23,24,27,34,16
2012/11/23,000000,02,03,04,14,18,46,25
2012/11/27,000000,05,09,13,18,19,31,32
2012/11/30,000000,05,18,26,31,37,43,08
2012/12/04,000000,02,23,29,30,41,43,16
2012/12/07,000000,08,11,13,19,23,28,49
2012/12/11,000000,05,12,14,22,38,44,25
2012/12/14,000000,08,11,17,21,28,49,37
2012/12/18,000000,05,07,10,15,19,44,49
2012/12/21,000000,13,17,22,25,31,48,26
2012/12/25,000000,12,18,25,32,41,47,07
2012/12/28,000000,05,14,18,28,37,42,19
2013/01/01,000000,03,04,22,32,33,49,21
2013/01/04,000000,01,07,24,31,35,47,21
2013/01/08,000000,05,06,14,19,27,33,31
2013/01/11,000000,01,10,24,33,44,48,37
2013/01/15,000000,02,08,32,34,44,46,14
2013/01/18,000000,22,27,30,33,37,46,24
2013/01/22,000000,02,14,23,25,31,47,48
2013/01/25,000000,02,04,11,18,48,49,38
2013/01/29,000000,03,07,31,32,34,43,41
2013/02/01,000000,01,26,28,37,39,46,03
2013/02/05,000000,08,15,19,25,30,38,06
2013/02/08,000000,04,11,22,26,38,47,13
2013/02/09,000000,05,11,17,22,30,34,10
2013/02/10,000000,09,10,12,21,31,35,19
2013/02/11,000000,06,16,40,45,46,48,31
2013/02/12,000000,03,13,19,24,27,38,40
2013/02/15,000000,02,08,17,30,34,40,26
2013/02/19,000000,07,23,24,28,32,40,08
2013/02/22,000000,07,09,17,25,28,35,36
2013/02/26,000000,08,15,21,30,36,39,17
2013/03/01,000000,01,26,34,35,36,37,07
2013/03/05,000000,05,24,30,35,36,38,11
2013/03/08,000000,12,13,16,29,44,45,30
2013/03/12,000000,16,20,35,46,47,49,31
2013/03/15,000000,05,13,23,37,43,44,26
2013/03/19,000000,01,12,25,37,39,40,18
2013/03/22,000000,05,07,13,23,24,30,01
2013/03/26,000000,01,09,20,28,39,42,47
2013/03/29,000000,02,03,08,15,24,46,36
2013/04/02,000000,11,15,20,23,26,35,31
2013/04/05,000000,04,07,13,17,21,35,33
2013/04/09,000000,07,16,35,45,47,48,39
2013/04/12,000000,01,03,18,22,29,32,21
2013/04/16,000000,06,18,40,43,45,48,24
2013/04/19,000000,03,36,37,40,42,48,17
2013/04/23,000000,12,15,29,31,36,45,40
2013/04/26,000000,15,17,19,30,40,47,25
2013/04/30,000000,10,30,32,37,46,47,16
2013/05/03,000000,01,04,08,22,32,45,02
2013/05/07,000000,09,11,14,25,33,35,02
2013/05/10,000000,02,17,25,32,39,43,34
2013/05/14,000000,01,06,07,27,30,39,21
2013/05/17,000000,05,10,16,22,23,24,31
2013/05/21,000000,24,29,35,39,42,49,48
2013/05/24,000000,10,27,28,31,37,41,34
2013/05/28,000000,07,10,16,17,30,43,23
2013/05/31,000000,03,06,10,33,39,44,37
2013/06/04,000000,14,19,34,43,46,47,42
2013/06/07,000000,03,14,29,33,39,48,22
2013/06/11,000000,16,20,34,42,46,49,04
2013/06/14,000000,04,16,22,32,35,47,43
2013/06/18,000000,04,11,25,36,41,43,27
2013/06/21,000000,10,29,35,39,41,44,07
2013/06/25,000000,07,18,26,28,34,38,05
2013/06/28,000000,22,26,31,42,44,49,29
2013/07/02,000000,01,05,18,21,40,44,22
2013/07/05,000000,11,14,28,39,40,45,42
2013/07/09,000000,19,24,28,29,41,43,37
2013/07/12,000000,15,24,29,34,47,48,31
2013/07/16,000000,10,13,16,29,31,37,32
2013/07/19,000000,03,05,09,15,30,49,48
2013/07/23,000000,04,17,24,27,35,49,39
2013/07/26,000000,08,17,21,34,39,45,44
2013/07/30,000000,06,15,16,22,43,45,48
2013/08/02,000000,07,27,43,44,45,46,35
2013/08/06,000000,01,04,17,27,32,48,06
2013/08/09,000000,03,04,12,13,24,30,09
2013/08/13,000000,12,14,16,34,37,48,07
2013/08/16,000000,04,17,24,27,29,40,09
2013/08/20,000000,05,07,16,28,31,49,34
2013/08/23,000000,05,11,12,14,31,35,26
2013/08/27,000000,05,08,11,14,15,36,46
2013/08/30,000000,02,21,24,27,36,46,05
2013/09/03,000000,11,13,22,29,39,48,45
2013/09/06,000000,06,07,14,33,36,48,18
2013/09/10,000000,01,10,14,34,42,47,09
2013/09/13,000000,12,16,26,27,28,45,06
2013/09/17,000000,01,08,17,19,40,46,15
2013/09/20,000000,06,12,19,28,39,47,36
2013/09/24,000000,07,09,15,23,34,35,41
2013/09/27,000000,01,12,18,19,38,46,02
2013/10/01,000000,01,04,14,17,23,46,41
2013/10/04,000000,07,12,18,25,28,48,46
2013/10/08,000000,04,06,07,11,26,31,38
2013/10/11,000000,02,10,32,37,46,49,28
2013/10/15,000000,08,13,16,20,22,28,49
2013/10/18,000000,09,11,17,39,40,43,46
2013/10/22,000000,07,08,16,23,32,39,22
2013/10/25,000000,03,08,10,11,35,36,39
2013/10/29,000000,01,04,21,30,39,42,44
2013/11/01,000000,06,16,26,31,36,46,09
2013/11/05,000000,03,12,27,29,37,46,17
2013/11/08,000000,01,03,28,30,33,39,34
2013/11/12,000000,03,12,22,23,29,46,33
2013/11/15,000000,02,04,18,31,36,43,08
2013/11/19,000000,15,16,33,35,36,46,21
2013/11/22,000000,08,09,11,24,40,47,33
2013/11/26,000000,01,10,11,15,20,21,26
2013/11/29,000000,02,08,13,19,30,31,20
2013/12/03,000000,08,10,17,38,44,49,40
2013/12/06,000000,04,06,08,10,15,36,13
2013/12/10,000000,06,11,27,34,42,49,21
2013/12/13,000000,10,16,26,28,41,48,42
2013/12/17,000000,01,04,09,14,22,28,20
2013/12/20,000000,08,09,14,17,25,45,27
2013/12/24,000000,09,21,24,33,36,43,03
2013/12/27,000000,02,12,16,31,39,43,18
2013/12/31,000000,05,27,29,36,40,42,35
2014/01/03,000000,11,18,20,21,35,37,08
2014/01/07,000000,01,07,21,25,35,36,39
2014/01/10,000000,07,17,19,30,32,37,03
2014/01/14,000000,02,11,21,41,45,49,26
2014/01/17,000000,13,15,20,26,29,36,37
2014/01/21,000000,12,15,22,38,43,44,09
2014/01/24,000000,01,04,20,29,41,45,36
2014/01/28,000000,01,02,05,07,26,30,24
2014/01/30,000000,09,22,44,45,48,49,08
2014/01/31,000000,17,23,27,38,48,49,19
2014/02/01,000000,06,09,13,19,36,37,27
2014/02/02,000000,03,13,14,19,24,45,05
2014/02/03,000000,01,02,16,17,27,30,48
2014/02/04,000000,08,12,19,32,42,46,28
2014/02/07,000000,05,11,12,21,22,28,25
2014/02/11,000000,06,15,21,22,31,44,41
2014/02/14,000000,10,19,20,24,33,48,01
2014/02/18,000000,06,19,20,26,32,47,35
2014/02/21,000000,11,12,23,28,40,48,09
2014/02/25,000000,03,05,09,12,13,46,04
2014/02/28,000000,13,17,18,24,28,32,37
2014/03/04,000000,08,26,35,37,40,43,06
2014/03/07,000000,06,18,26,30,37,38,16
2014/03/11,000000,13,15,16,20,40,43,14
2014/03/14,000000,02,08,27,40,41,47,28
2014/03/18,000000,12,26,28,35,39,40,16
2014/03/21,000000,08,18,26,31,46,47,20
2014/03/25,000000,19,23,25,30,42,47,16
2014/03/28,000000,09,18,23,35,36,47,41
2014/04/01,000000,18,22,29,30,46,47,06
2014/04/04,000000,08,24,35,37,41,47,23
2014/04/08,000000,01,14,17,27,28,45,11
2014/04/11,000000,01,03,04,09,12,17,15
2014/04/15,000000,05,08,24,26,35,44,41
2014/04/18,000000,08,09,15,40,44,48,24
2014/04/22,000000,11,12,15,18,20,37,42
2014/04/25,000000,04,24,34,35,38,46,30
2014/04/29,000000,02,09,27,30,44,46,22
2014/05/02,000000,01,07,23,25,37,40,12
2014/05/06,000000,10,25,35,39,40,46,31
2014/05/09,000000,01,11,13,21,27,37,03
2014/05/13,000000,15,20,29,31,32,44,23
2014/05/16,000000,14,31,38,41,42,45,29
2014/05/20,000000,06,13,30,33,34,35,38
2014/05/23,000000,11,17,22,27,30,46,15
2014/05/27,000000,10,19,23,26,32,39,16
2014/05/30,000000,09,17,21,24,30,35,15
2014/06/03,000000,16,31,32,33,35,44,46
2014/06/06,000000,25,29,40,41,47,49,48
2014/06/10,000000,03,11,28,32,33,35,30
2014/06/13,000000,04,21,28,32,37,42,16
2014/06/17,000000,03,06,18,20,25,48,12
2014/06/20,000000,12,14,16,33,36,47,48
2014/06/24,000000,01,08,12,14,40,41,15
2014/06/27,000000,13,21,27,34,35,36,24
2014/07/01,000000,06,07,08,09,21,48,18
2014/07/04,000000,03,14,17,24,27,48,28
2014/07/08,000000,10,22,25,33,39,47,38
2014/07/11,000000,01,07,14,15,18,30,33
2014/07/15,000000,07,18,23,32,34,48,13
2014/07/18,000000,01,02,15,19,21,30,40
2014/07/22,000000,03,09,13,17,28,42,14
2014/07/25,000000,05,21,30,32,35,45,26
2014/07/29,000000,31,32,34,36,44,47,46
2014/08/01,000000,05,08,21,23,32,45,18
2014/08/05,000000,04,11,26,33,40,42,34
2014/08/08,000000,26,31,32,38,42,45,37
2014/08/12,000000,04,06,10,12,34,45,44
2014/08/15,000000,18,23,29,46,47,48,05
2014/08/19,000000,06,07,09,12,14,19,17
2014/08/22,000000,08,16,23,30,31,43,18
2014/08/26,000000,01,17,19,23,32,43,09
2014/08/29,000000,09,10,21,23,38,39,35
2014/09/02,000000,07,08,36,39,42,43,22
2014/09/05,000000,10,16,25,27,32,36,45
2014/09/09,000000,21,23,29,41,42,49,14
2014/09/12,000000,02,23,27,31,36,49,15
2014/09/16,000000,07,12,16,18,19,41,45
2014/09/19,000000,02,06,17,29,32,39,04
2014/09/23,000000,02,11,20,28,32,38,16
2014/09/26,000000,08,15,19,22,29,37,39
2014/09/30,000000,18,35,36,41,47,49,15
2014/10/03,000000,10,14,19,24,35,37,39
2014/10/07,000000,17,18,40,41,45,47,29
2014/10/10,000000,01,11,19,24,26,28,33
2014/10/14,000000,09,10,14,20,36,47,08
2014/10/17,000000,02,11,20,32,33,36,39
2014/10/21,000000,14,28,31,38,42,44,45
2014/10/24,000000,01,17,20,36,37,45,15
2014/10/28,000000,05,16,25,32,37,44,21
2014/10/31,000000,02,08,10,14,27,49,20
2014/11/04,000000,03,20,30,35,38,41,47
2014/11/07,000000,11,19,25,27,40,49,33
2014/11/11,000000,05,11,18,23,36,43,14
2014/11/14,000000,15,16,29,34,41,44,49
2014/11/18,000000,11,12,20,26,28,43,06
2014/11/21,000000,02,03,22,26,32,34,40
2014/11/25,000000,01,15,16,32,44,48,40
2014/11/28,000000,01,10,21,35,40,44,36
2014/12/02,000000,09,11,13,23,26,42,47
2014/12/05,000000,11,18,30,34,37,47,17
2014/12/09,000000,07,09,23,33,41,43,24
2014/12/12,000000,07,08,24,29,32,48,37
2014/12/16,000000,17,28,32,34,35,45,08
2014/12/19,000000,01,09,24,32,41,49,40
2014/12/23,000000,03,27,30,31,32,39,35
2014/12/26,000000,09,27,32,42,45,49,30
2014/12/30,000000,07,30,32,44,48,49,45
2015/01/02,000000,13,22,23,29,31,48,06
2015/01/06,000000,11,16,29,30,37,43,13
2015/01/09,000000,07,08,18,21,23,24,11
2015/01/13,000000,02,14,16,22,37,46,49
2015/01/16,000000,02,17,28,32,38,46,49
2015/01/20,000000,09,24,28,35,45,47,48
2015/01/23,000000,08,16,20,38,39,42,29
2015/01/27,000000,04,09,15,21,27,45,06
2015/01/30,000000,03,14,24,35,39,44,28
2015/02/03,000000,05,13,15,16,18,30,08
2015/02/06,000000,05,11,29,36,42,46,48
2015/02/10,000000,14,15,26,29,35,44,09
